Cyberincidentnum,Dyadpair,StateA,StateB,Name,interactionstartdate,method,targettype,initiator,target,cyber_objective,information_operation,objective_achievement,Concession,damage type,severity,Cyber_escalation,Ddeny/reject-,Dthreat/demand-,Diplo_Negative,Dnegotiate+,Dagreement+,Diplo_Positive,Ereduce-,Ethreat-,Eemb/sanc-,Econ_Negative,Ecoop+,Eease+,Eaid+,Econ_Positive,Mthreat-,Mdisplay-,Musage-,Mil_Negative,Mpromise+,Mcoop+,Mconfid+,Mil_Positive,Conv_descalation,Conv_escalation,
1,2365,US,Russia,Regin malware campaign,01.02.08,3,2,2,365,3,0,1,0,2,4,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0,1,0,0,0,0,5,3,
1,2365,US,Russia,Duke Series,08.04.08,4,2,365,2,3,0,1,0,2,4,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,2.8,0.1,2,0,17.4,18.3,2,5,4,
2,2365,US,Russia,QWERTY keystroke log,01.02.08,4,2,2,365,2,0,1,0,2,4,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,2.8,0,1,0,0,0,0,2,3,
2,2365,US,Russia,Duke Series,09.04.08,4,2,365,2,3,0,1,0,2,4,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,2.8,0.1,2,0,17.4,18.3,2,5,4,
3,2365,US,Russia,Duke Series_A,08.04.08,4,2,365,2,3,0,1,0,2,4,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,2.8,0.1,2,0,17.4,18.3,2,5,4,
3,2365,US,Russia,No Cyber,01.05.08,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,0,0,0,0,17.4,18.3,2,5,2,
4,2365,US,Russia,US govt employee in Georgia hacked,06.08.08,4,2,365,2,1,1,1,0,1,3,0,6,5,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,1,3,
4,2365,US,Russia,No Cyber,01.09.08,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,4.4,0,0,1,0,0,0,0,0,2.8,0.1,2,0,0,0,0,1,5,
5,2365,US,Russia,Agent.bz/CENTCOM,01.10.08,3,3,365,2,3,0,1,0,1,4,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
5,2365,US,Russia,Buckshot Yankee,26.11.08,4,2,2,365,4,0,1,1,1,5,1,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,
6,2365,US,Russia,Buckshot Yankee,26.11.08,4,2,2,365,4,0,1,1,1,5,1,6,5,2,17,18,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,
6,2365,US,Russia,Sandworm_A,01.01.09,3,2,365,2,3,0,1,0,2,4,0,6,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
7,2365,US,Russia,Sandworm_A,01.01.09,3,2,365,2,3,0,1,0,2,4,0,6,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
7,2365,US,Russia,No Cyber,03.02.09,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,0,0,16.4,0,0,1,0,0,0,0,0,0,0,0,3,2,
8,2365,US,Russia,"Power grid hacked, traced to Russia",24.08.09,4,1,365,2,4,0,0,0,1,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
8,2365,US,Russia,No Cyber,01.10.09,0,0,2,365,0,0,0,0,0,0,0,0,0,0,17,18,2,0,0,0,0,16.4,0,0,1,0,0,0,0,0,0,0,0,3,0,
9,2365,US,Russia,Russian Info Swipe_A,01.01.11,3,1,365,2,2,0,1,0,2,3,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
9,2365,US,Russia,No Cyber,01.02.11,0,0,2,365,0,0,0,0,0,0,0,0,0,0,17,18,2,0,0,0,0,16.4,0,0,1,0,0,0,0,0,0,0,0,3,0,
10,2365,US,Russia,Yahoo breach 2,01.08.13,3,1,365,2,3,0,1,0,2,3,0,0,5,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
10,2365,US,Russia,No Cyber,01.09.13,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,0,0,0,0,0,0,0,0,0,0,0.1,1,15.2,0,18.3,2,4,3,
11,2365,US,Russia,Operation Pawn Storm/World Doping Agency,30.09.13,3,2,365,2,2,1,1,0,2,4,0,6,5,2,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,2,3,2,
11,2365,US,Russia,No Cyber,01.11.13,0,0,2,365,0,0,0,0,0,0,0,0,0,0,17,18,2,0,0,2,1,0,0,0,0,0,0,0,0,15.2,17.4,0,2,4,1,
12,2365,US,Russia,CyberBerkut NATO Websites_A,15.03.14,2,3,365,2,1,1,1,0,1,2,0,6,5,2,17,18,2,4.4,0,0,1,0,0,0,0,0,0,0.1,1,0,0,0,0,2,4,
12,2365,US,Russia,No Cyber,01.05.14,0,0,2,365,0,0,0,0,0,0,0,6,5,2,17,18,2,4.4,4.2,2,3,0,0,0,0,0,0,0.1,1,0,0,0,0,2,6,
13,2365,US,Russia,Operation Pawn Storm: military networks (fake OWA),02.06.14,3,3,365,2,2,1,1,0,2,4,0,6,5,2,17,18,1,4.4,0,0,1,0,0,0,0,0,0,0.1,1,0,0,0,0,1,4,
13,2365,US,Russia,No Cyber,01.07.14,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
14,2365,US,Russia,"Operation Pawn Storm: Nuclear power plants, newspapers",03.06.14,3,1,365,2,2,1,1,0,2,4,0,6,5,2,0,18,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
14,2365,US,Russia,No Cyber,02.07.14,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
15,2365,US,Russia,US Banks hacked,04.06.14,3,1,365,2,1,0,0,0,2,3,0,6,5,2,0,18,1,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,
15,2365,US,Russia,No Cyber,03.07.14,0,0,2,365,0,0,0,0,0,0,0,6,5,2,0,18,1,0,4.2,2,2,0,0,0,0,0,0,0.1,1,0,0,0,0,1,5,
